CUSTOMERKEY;FIRSTNAME;LASTNAME;GEOGRAPHYKEY
11264;Eduardo;Martin;368
11265;Elizabeth;Jones;368
11266;Taylor;Howard;368
11267;David;Diaz;106
11268;Katelyn;Carter;116
11269;Ryan;Foster;118
11270;Robert;Lee;138
11271;Danielle;Reed;164
11272;Lauren;Martinez;104
11273;Nathan;Lal;135
11274;Kyle;Foster;368
11275;Jenny;Rai;114
11276;Nancy;Chapman;450
11277;Charles;Jackson;463
11278;Jonathan;Phillips;368
11279;Amanda;Cook;368
11280;Robert;Collins;368
11281;Megan;Barnes;105
11282;Christian;Thomas;368
11283;Arturo;Lal;103
11284;Theresa;Serrano;111
11285;Jeremy;Anderson;126
11286;Hunter;Griffin;178
11287;Henry;Garcia;450
11288;Cindy;Sanchez;105
11289;Maria;Carter;119
11290;Katelyn;Sanchez;138
11291;Jenna;Wright;139
11292;Seth;Phillips;165
11293;Luke;Long;368
11294;Dalton;Clark;368
11295;Taylor;Lewis;115
11296;Haley;Richardson;368
11297;Noah;Coleman;105
11298;Jon;Luo;111
11299;Orlando;Vazquez;105
11300;Fernando;Barnes;455
11301;Cameron;Rodriguez;368
11302;Spencer;Russell;343
11303;Julia;Coleman;368
11304;Julia;Garcia;351
11305;Sean;Evans;111
11306;Micah;Zhou;116
11307;Hunter;Rodriguez;118
11308;Ian;Gonzales;350
11309;Victoria;Lewis;340
11310;Erin;Sanders;164
11311;Gabrielle;Lopez;368
11312;Sara;Richardson;368
11313;Trevor;Jenkins;368
11314;Mya;Flores;368
11315;Hailey;Ward;368
11316;Luke;Allen;452
11317;Victoria;Russell;352
11318;Jessica;Wilson;368
11319;Jade;Bailey;152
11320;Morgan;Hill;129
11321;Terrance;Raman;368
11322;Sydney;Garcia;368
11323;Jose;Patterson;118
11324;Zachary;Anderson;129
11325;Elijah;Ross;368
11326;Rafael;Xie;104
11327;Jaime;Moreno;105
11328;Julian;Griffin;456
11329;Andy;Alvarez;115
11330;Ryan;Thompson;460
11331;Samantha;Jenkins;464
11332;Deanna;Ramos;556
11333;Emily;Miller;65
11334;Nicole;Brown;73
11335;Carla;Raman;399
11336;Shaun;Raji;8
11337;Jerome;Romero;77
11338;Frank;Navarro;557
11339;Dennis;She;6
11340;Melody;Munoz;437
11341;Randy;Zeng;40
11342;Marshall;Wang;436
11343;Arthur;Carlson;68
11344;Jessie;Jimenez;66
11345;Robin;Ramos;28
11346;Deanna;Gutierrez;441
11347;Roy;Navarro;559
11348;Shawn;Rai;554
11349;Mindy;Luo;537
11350;Cara;Zhou;69
11351;Anne;Ramos;57
11352;Raymond;Rodriguez;26
11353;Carrie;Ortega;75
11354;Deanna;Suarez;398
11355;Roberto;Gutierrez;79
